Sensor_no,Sensor_name,Unit
207,Qpf daily increment,in
208,Turbidity variance,ntu
209,Precipitation aux,in
210,Flow aux,cfs
211,% Gate opened 01,%
212,% Gate opened 02,%
213,% Gate opened 03,%
214,% Gate opened 04,%
215,% Gate opened 05,%
216,% Gate opened 06,%
217,% Gate opened 07,%
218,% Gate opened 08,%
219,% Gate opened 09,%
220,% Gate opened 10,%
221,Turbidity,fnu
222,Median elec conductivity micro S,us/cm
223,Min elec conductivity micro S,us/cm
224,Max elec conductivity micro S,us/cm
225,Water temperature median,deg f
226,Water temperature minimum,deg f
227,Water temperature maximum,deg f
228,Dissolved oxygen median,mg/l
229,Dissolved oxygen minimum,mg/l
230,Dissolved oxygen maximum,mg/l
231,Ground subsidence or displacement,ft
232,Ensemble elevation,ft
233,Ensemble flow,cfs
234,Ensemble esrd,cfs
235,Ensemble rate of rise,ft/hr
236,Ensemble storage,af
237,Snow water content minimum,in
238,Snow water content maximum,in
239,Soil temperature at depth 50cm,deg f
240,Soil temperature at depth 60cm,deg f
241,Soil temperature at depth 70cm,deg f
242,Soil moisture at depth 50cm,%
243,Soil moisture at depth 60cm,%
244,Soil moisture at depth 70cm,%
245,Albedo,%
246,Solar reflected radiation,w/m^2
247,Solar incoming radiation,w/m^2
248,Solar radiation net,w/m^2
249,Infrared reflected radiation,w/m^2
250,Infrared incoming radiation,w/m^2
251,Infrared net radiation,w/m^2
252,Net total radiation,w/m^2
253,Risk based flow,cfs
254,Pore water pressure,kpa
255,Piezometer digits,int
256,Precipitation rate,mm/min
257,Ice events,ct/dur
258,Saturation vapor pressure,kpa
259,Reservoir alt top cons storage,af
260,A-J 10% forecast exceedence,af
261,A-J 50% forecast exceedence,af
262,A-J 90% forecast exceedence,af
263,Water year 10% forecast exceedence,af
264,Water year 50% forecast exceedence,af
265,Water year 90% forecast exceedence,af
266,Fluorescnt dissolved organic matter,qsu
267,Blue green algae,mg/l
268,Dissolved oxygen saturation,mg/l
269,pH value,mv
